Triangles,Vertices,Meshes,SubMeshes,Model,Path
14529,19327,1,1,Meshy_AI_Turquoise_Tunnel_Gree_0722150313_texture,Assets/Models/Greenhouse/greenhouse/Meshy_AI_Turquoise_Tunnel_Gree_0722150313_texture_fbx/Meshy_AI_Turquoise_Tunnel_Gree_0722150313_texture.fbx
10365,17321,1,1,Meshy_AI_Verdant_Canopy_0506040512_texture,Assets/Models/MangosteenTree/VerdantCanopy2/Meshy_AI_Verdant_Canopy_0506040512_texture_fbx/Meshy_AI_Verdant_Canopy_0506040512_texture.fbx
10365,17321,1,1,Meshy_AI_Verdant_Canopy_0506040512_texture,Assets/Models/PomeloTree/VerdantCanopy2/Meshy_AI_Verdant_Canopy_0506040512_texture_fbx/Meshy_AI_Verdant_Canopy_0506040512_texture.fbx
10131,16171,1,1,Meshy_AI_Emerald_Leaves_in_a_B_0623111016_texture,Assets/Models/EggplantTree/Meshy_AI_Emerald_Leaves_in_a_B_0623111016_texture_fbx/Meshy_AI_Emerald_Leaves_in_a_B_0623111016_texture.fbx
9977,20493,1,1,Meshy_AI_Verdant_Canopy_0506035018_texture,Assets/Models/DurianTree/VerdantCanopy/Meshy_AI_Verdant_Canopy_0506035018_texture_fbx/Meshy_AI_Verdant_Canopy_0506035018_texture.fbx
9878,18068,1,1,Meshy_AI_Backyard_Pumpkin_Patc_0623110303_texture,Assets/Models/SquashTree/Meshy_AI_Backyard_Pumpkin_Patc_0623110303_texture_fbx/Meshy_AI_Backyard_Pumpkin_Patc_0623110303_texture.fbx
9872,15383,1,1,Meshy_AI_Metal_Grate_Trench_Dr_0722150301_texture,Assets/Models/DrainageCanal/drainage/Meshy_AI_Metal_Grate_Trench_Dr_0722150301_texture_fbx/Meshy_AI_Metal_Grate_Trench_Dr_0722150301_texture.fbx
9858,19333,1,1,Meshy_AI_Sunlit_Orchard_Tree_0506050513_texture,Assets/Models/CacaoTree/Meshy_AI_Sunlit_Orchard_Tree_0506050513_texture_fbx/Meshy_AI_Sunlit_Orchard_Tree_0506050513_texture_fbx/Meshy_AI_Sunlit_Orchard_Tree_0506050513_texture.fbx
9696,17521,1,1,Meshy_AI_Chrome_Ribbed_Cylinde_0722151007_texture,Assets/Models/WaterStorageTank/water collector/Meshy_AI_Chrome_Ribbed_Cylinde_0722151007_texture_fbx/Meshy_AI_Chrome_Ribbed_Cylinde_0722151007_texture.fbx
9315,20064,1,1,Meshy_AI_Green_Globe_Topiary_0506042035_texture,Assets/Models/MangoTree/GreenGlobeTopiary/Meshy_AI_Green_Globe_Topiary_0506042035_texture_fbx/Meshy_AI_Green_Globe_Topiary_0506042035_texture.fbx
9206,15394,1,1,Meshy_AI_Strawberry_Patch_Unde_0623111645_texture,Assets/Models/StrawberryTree/Meshy_AI_Strawberry_Patch_Unde_0623111645_texture_fbx/Meshy_AI_Strawberry_Patch_Unde_0623111645_texture.fbx
8475,12657,1,1,Meshy_AI_Circular_Green_Constr_0722150246_texture,Assets/Models/WindBreakNet/windbreak/Meshy_AI_Circular_Green_Constr_0722150246_texture_fbx/Meshy_AI_Circular_Green_Constr_0722150246_texture.fbx
8228,17823,1,1,Meshy_AI_Tomato_plant_against__0623105135_texture,Assets/Models/TomatoTree/Meshy_AI_Tomato_plant_against__0623105135_texture_fbx/Meshy_AI_Tomato_plant_against__0623105135_texture.fbx
7970,9698,1,1,Meshy_AI_Young_sapling_0709124312_texture,Assets/Models/CacaoSprout/Meshy_AI_Young_sapling_0709124312_texture_fbx/Meshy_AI_Young_sapling_0709124312_texture_fbx/Meshy_AI_Young_sapling_0709124312_texture.fbx
